ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
752	"ENSG00000141524.11"	"TMC6"	chr17	-	76116257	76117245	76116257	76116913	76117093	76117245	752	76,51	73,103	38,23	120,92	197	99	0.000376980266256	0.00728122559207	0.343,0.199	0.137,0.112	0.147
12738	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179047892	179048398	179047892	179048036	179048242	179048398	12738	540,473	391,601	242,170	380,355	197	99	0.000383731637922	0.00738240688301	0.41,0.283	0.242,0.194	0.128
6329	"ENSG00000167615.12"	"LENG8"	chr19	+	54967397	54967644	54967397	54967424	54967503	54967644	6329	38,8	337,125	0,0	63,78	177	99	0.000383936693043	0.00738240688301	0.059,0.035	0.0,0.0	0.047
8737	"ENSG00000099875.10"	"MKNK2"	chr19	-	2042605	2042869	2042605	2042661	2042764	2042869	8737	30,69	291,300	22,15	298,202	197	99	0.00038663243785	0.00741764688241	0.049,0.104	0.036,0.036	0.041
1671	"ENSG00000120833.9"	"SOCS2"	chr12	+	93966460	93969982	93966460	93966812	93968497	93969982	1671	25,17	69,74	8,6	94,66	197	99	0.00039355373778	0.00753361776441	0.154,0.103	0.041,0.044	0.086
8938	"ENSG00000174243.5"	"DDX23"	chr12	-	49231063	49231440	49231063	49231176	49231306	49231440	8938	22,31	191,266	8,6	201,175	197	99	0.000396357813438	0.00757043423667	0.055,0.055	0.02,0.017	0.036
4499	"ENSG00000011304.12"	"PTBP1"	chr19	+	804291	804702	804291	804438	804531	804702	4499	11,13	79,77	3,1	96,71	191	99	0.000400986516543	0.00764186055363	0.067,0.08	0.016,0.007	0.062
1608	"ENSG00000164062.8"	"APEH"	chr3	+	49713488	49713948	49713488	49713652	49713810	49713948	1608	11,19	256,159	9,5	338,297	197	99	0.000405766954627	0.00771585613942	0.021,0.057	0.013,0.008	0.029
785	"ENSG00000071894.10"	"CPSF1"	chr8	-	145624665	145624872	145624665	145624763	145624841	145624872	785	16,8	132,66	1,1	82,84	176	99	0.000416882962047	0.00790973302162	0.064,0.064	0.007,0.007	0.057
5154	"ENSG00000135018.9"	"UBQLN1"	chr9	-	86281264	86284242	86281264	86281348	86284099	86284242	5154	37,25	292,253	14,7	276,215	197	99	0.000431786191378	0.00817445443809	0.06,0.047	0.025,0.016	0.033
1901	"ENSG00000168268.6"	"NT5DC2"	chr3	-	52562036	52562282	52562036	52562089	52562198	52562282	1901	27,9	243,117	1,0	94,71	197	99	0.000436417023078	0.00824396552386	0.053,0.037	0.005,0.0	0.042
7706	"ENSG00000008710.13"	"PKD1"	chr16	-	2141781	2142189	2141781	2141907	2142047	2142189	7706	14,21	18,47	9,6	61,40	197	99	0.00044060619615	0.00830484705243	0.281,0.183	0.069,0.07	0.163
8575	"ENSG00000234741.3"	"GAS5"	chr1	-	173834366	173834685	173834366	173834438	173834608	173834685	8575	507,688	1,102	281,258	2,1	197	99	0.000447801100114	0.00842199224394	0.996,0.772	0.986,0.992	-0.105
7927	"ENSG00000130724.4"	"CHMP2A"	chr19	-	59062932	59063334	59062932	59063143	59063272	59063334	7927	35,48	239,383	12,8	222,171	197	99	0.000449594391682	0.00843725719761	0.069,0.059	0.026,0.023	0.04
3388	"ENSG00000129460.11"	"NGDN"	chr14	+	23946408	23946769	23946408	23946565	23946711	23946769	3388	65,86	98,198	24,16	100,73	197	99	0.000451306774038	0.00845094057267	0.25,0.179	0.108,0.099	0.111
3305	"ENSG00000105193.4"	"RPS16"	chr19	-	39924304	39926348	39924304	39924401	39926297	39926348	3305	3428,4190	163,239	3158,2347	108,71	197	99	0.00045271241119	0.00845883298734	0.914,0.898	0.936,0.943	-0.033
5236	"ENSG00000172732.7"	"MUS81"	chr11	+	65632190	65632794	65632190	65632616	65632690	65632794	5236	73,91	67,80	47,31	82,63	172	99	0.000454062506093	0.00846565561794	0.385,0.396	0.248,0.221	0.156
8880	"ENSG00000214078.7"	"CPNE1"	chr20	-	34220084	34220307	34220084	34220156	34220232	34220307	8880	16,28	78,46	7,4	71,56	174	99	0.000455870336109	0.00848096436982	0.105,0.257	0.053,0.039	0.135
6864	"ENSG00000132522.11"	"GPS2"	chr17	-	7216347	7216610	7216347	7216443	7216530	7216610	6864	30,49	91,100	16,10	96,67	185	99	0.00045793502711	0.00850097528728	0.15,0.208	0.082,0.074	0.101
2051	"ENSG00000129351.13"	"ILF3"	chr19	+	10794592	10796441	10794592	10794646	10795091	10796441	2051	34,53	205,270	21,16	241,213	197	99	0.000469428504021	0.00869555601737	0.077,0.09	0.042,0.036	0.044
1150	"ENSG00000163930.5"	"BAP1"	chr3	-	52440268	52440923	52440268	52440392	52440844	52440923	1150	24,28	26,30	8,5	30,23	197	99	0.000479334123207	0.00885995008379	0.317,0.319	0.118,0.098	0.21
4941	"ENSG00000159069.9"	"FBXW5"	chr9	-	139836497	139837147	139836497	139836918	139836998	139837147	4941	14,29	38,36	7,4	47,35	178	99	0.000482765883305	0.00890423340559	0.17,0.309	0.076,0.06	0.171
2682	"ENSG00000136643.7"	"RPS6KC1"	chr1	+	213414044	213416001	213414044	213415640	213415911	213416001	2682	46,36	41,43	13,9	39,28	197	99	0.000489760040233	0.00899463150813	0.361,0.296	0.143,0.139	0.188
6299	"ENSG00000173171.10"	"MTX1"	chr1	+	155180338	155182010	155180338	155180418	155181917	155182010	6299	22,34	52,52	17,14	87,66	197	99	0.000489359384318	0.00899463150813	0.175,0.247	0.089,0.096	0.118
10948	"ENSG00000104522.11"	"TSTA3"	chr8	-	144694787	144695465	144694787	144695135	144695365	144695465	10948	29,64	113,86	18,12	107,85	197	99	0.000505978056728	0.00927266822511	0.114,0.272	0.078,0.066	0.121
4263	"ENSG00000187514.10"	"PTMA"	chr2	+	232576057	232576693	232576057	232576129	232576599	232576693	4263	306,405	2173,2091	376,349	3365,3152	197	99	0.000532366490398	0.00973551060632	0.066,0.089	0.053,0.053	0.025
10582	"ENSG00000107937.14"	"GTPBP4"	chr10	+	1042045	1043248	1042045	1042182	1043147	1043248	10582	20,27	123,108	10,7	131,115	197	99	0.00053448182532	0.00975344222638	0.076,0.112	0.037,0.03	0.06
8924	"ENSG00000142541.12"	"RPL13A"	chr19	+	49993106	49993554	49993106	49993169	49993488	49993554	8924	3700,5203	169,162	3249,3095	83,63	197	99	0.000556811272104	0.0101393917028	0.917,0.942	0.952,0.961	-0.027
9289	"ENSG00000180098.5"	"TRNAU1AP"	chr1	+	28887144	28887910	28887144	28887244	28887857	28887910	9289	13,19	122,79	7,4	138,108	197	99	0.000559779237479	0.0101718869897	0.051,0.108	0.025,0.018	0.058
7147	"ENSG00000214517.4"	"PPME1"	chr11	+	73961998	73962760	73961998	73962063	73962692	73962760	7147	42,35	74,85	16,8	77,54	197	99	0.000563024296797	0.0102092696856	0.222,0.171	0.095,0.069	0.115
7429	"ENSG00000255717.2"	"SNHG1"	chr11	-	62621272	62621536	62621272	62621321	62621489	62621536	7429	652,731	11,54	365,232	3,3	197	99	0.000567112164046	0.0102401870798	0.968,0.872	0.984,0.975	-0.06
8144	"ENSG00000085998.9"	"POMGNT1"	chr1	-	46658845	46659076	46658845	46658887	46658976	46659076	8144	21,11	11,21	1,1	13,20	187	99	0.000566441707203	0.0102401870798	0.503,0.217	0.039,0.026	0.328
12804	"ENSG00000130726.7"	"TRIM28"	chr19	+	59060063	59060267	59060063	59060143	59060228	59060267	12804	415,224	505,276	1,1	13,12	183	99	0.000568730268348	0.01024787559	0.308,0.305	0.04,0.043	0.265
3810	"ENSG00000105618.9"	"PRPF31"	chr19	+	54632431	54632745	54632431	54632560	54632646	54632745	3810	37,60	34,62	24,12	51,38	184	99	0.000581200125092	0.0104506591531	0.369,0.342	0.202,0.145	0.182
9079	"ENSG00000255432.1"	"RP11-831H9.11"	chr11	-	62432412	62432650	62432412	62432445	62432602	62432650	9079	137,56	377,148	1,1	29,22	197	99	0.000597199238812	0.010715923711	0.154,0.16	0.017,0.022	0.138
4593	"ENSG00000150316.7"	"CWC15"	chr11	-	94704140	94704651	94704140	94704229	94704538	94704651	4593	53,52	286,448	19,11	259,210	197	99	0.000613743220681	0.0109898395453	0.085,0.055	0.036,0.026	0.039
4601	"ENSG00000048140.13"	"TSPAN17"	chr5	+	176079743	176082021	176079743	176079914	176081895	176082021	4601	19,53	141,148	20,15	199,145	197	99	0.000636595431591	0.0113753383254	0.063,0.153	0.048,0.049	0.059
11319	"ENSG00000237441.5"	"RGL2"	chr6	-	33263994	33264241	33263994	33264102	33264190	33264241	11319	56,28	12,8	23,19	19,15	186	99	0.000649492713919	0.0115747680867	0.713,0.651	0.392,0.403	0.284
6466	"ENSG00000169727.8"	"GPS1"	chr17	+	80014715	80015346	80014715	80014850	80014928	80015346	6466	4,23	117,72	7,5	193,128	176	99	0.000650449445712	0.0115747680867	0.019,0.152	0.02,0.022	0.065
2169	"ENSG00000175166.12"	"PSMD2"	chr3	+	184025443	184025690	184025443	184025496	184025677	184025690	2169	96,34	572,326	2,1	71,68	197	99	0.000654789809314	0.0116279306014	0.078,0.05	0.014,0.007	0.053
6002	"ENSG00000126107.10"	"HECTD3"	chr1	-	45471465	45471788	45471465	45471555	45471668	45471788	6002	28,45	42,37	14,10	45,36	197	99	0.000667205336974	0.0117996499409	0.251,0.379	0.135,0.122	0.186
7359	"ENSG00000162298.12"	"SYVN1"	chr11	-	64898744	64899067	64898744	64898844	64898940	64899067	7359	32,44	160,132	16,10	143,102	194	99	0.000666259332503	0.0117996499409	0.093,0.145	0.054,0.048	0.068
6731	"ENSG00000170581.9"	"STAT2"	chr12	-	56748561	56749135	56748561	56748647	56749059	56749135	6731	115,93	75,47	68,40	72,53	197	99	0.000682894198118	0.012052311361	0.435,0.499	0.322,0.275	0.168
778	"ENSG00000160948.9"	"VPS28"	chr8	-	145649597	145650202	145649597	145649651	145650100	145650202	778	31,55	160,86	19,12	146,94	197	99	0.000687018585694	0.012100255623	0.089,0.243	0.061,0.06	0.105
7401	"ENSG00000175061.13"	"C17orf76-AS1"	chr17	+	16342640	16343567	16342640	16342728	16342894	16343567	7401	345,452	475,703	330,281	361,234	197	99	0.000704353712382	0.0123594163852	0.267,0.244	0.315,0.376	-0.09
8230	"ENSG00000119688.16"	"ABCD4"	chr14	-	74759450	74759951	74759450	74759572	74759856	74759951	8230	53,38	4,5	28,15	12,8	197	99	0.000704608962042	0.0123594163852	0.869,0.793	0.54,0.485	0.319
991	"ENSG00000140983.9"	"RHOT2"	chr16	+	720748	720940	720748	720773	720891	720940	991	51,34	103,41	4,5	32,27	197	99	0.000710264940234	0.0124332528744	0.199,0.294	0.059,0.085	0.174
268	"ENSG00000170638.5"	"TRABD"	chr22	+	50636251	50636615	50636251	50636424	50636503	50636615	268	38,26	0,5	48,30	26,17	177	99	0.000713358985196	0.0124620334914	1.0,0.744	0.508,0.497	0.37
8056	"ENSG00000169714.12"	"CNBP"	chr3	-	128889921	128890381	128889921	128890123	128890288	128890381	8056	83,140	355,237	43,31	237,175	197	99	0.000715604215542	0.0124758990519	0.105,0.229	0.084,0.082	0.084
9804	"ENSG00000161638.6"	"ITGA5"	chr12	-	54798213	54798678	54798213	54798259	54798486	54798678	9804	26,29	83,47	10,6	71,47	197	99	0.000724088635282	0.012598262794	0.136,0.237	0.066,0.06	0.123
6712	"ENSG00000103168.12"	"TAF1C"	chr16	-	84213775	84214792	84213775	84213950	84214648	84214792	6712	98,157	23,31	68,47	32,24	197	99	0.000726402410691	0.0126129873129	0.682,0.718	0.516,0.496	0.194
5261	"ENSG00000010322.11"	"NISCH"	chr3	+	52511589	52512298	52511589	52511658	52512112	52512298	5261	17,19	63,39	5,3	55,40	197	99	0.000747731164156	0.0129571559595	0.119,0.197	0.044,0.036	0.118
563	"ENSG00000213983.7"	"AP1G2"	chr14	-	24032792	24033065	24032792	24032847	24032924	24033065	563	9,4	20,20	2,2	51,40	175	99	0.000751611666448	0.0129981937085	0.203,0.102	0.022,0.028	0.128
5273	"ENSG00000167792.7"	"NDUFV1"	chr11	+	67377851	67378678	67377851	67378041	67378465	67378678	5273	118,151	352,203	80,59	313,237	197	99	0.000770718888032	0.0133018651459	0.144,0.272	0.114,0.111	0.096
3553	"ENSG00000175727.9"	"MLXIP"	chr12	+	122620035	122622137	122620035	122620213	122622015	122622137	3553	29,67	87,99	30,19	135,92	197	99	0.000786065028731	0.0135395369177	0.143,0.254	0.1,0.094	0.102
10299	"ENSG00000140988.11"	"RPS2"	chr16	-	2012061	2012657	2012061	2012271	2012497	2012657	10299	474,686	21487,18556	246,162	20788,18226	197	99	0.00078826018765	0.0135501926257	0.011,0.018	0.006,0.004	0.009
2445	"ENSG00000143575.10"	"HAX1"	chr1	+	154247629	154247959	154247629	154247736	154247868	154247959	2445	35,41	436,369	20,11	399,337	197	99	0.000796780801328	0.0136693233282	0.039,0.053	0.025,0.016	0.025
5545	"ENSG00000185324.17"	"CDK10"	chr16	+	89759681	89760640	89759681	89759875	89760580	89760640	5545	57,64	20,13	52,35	37,28	197	99	0.000800663313195	0.0137085680815	0.589,0.712	0.414,0.386	0.25
3869	"ENSG00000161981.6"	"SNRNP25"	chr16	+	105776	106613	105776	105882	106538	106613	3869	38,27	175,169	21,13	215,195	197	99	0.000803607274524	0.0137192320329	0.098,0.074	0.047,0.032	0.046
749	"ENSG00000141524.11"	"TMC6"	chr17	-	76121806	76122447	76121806	76121965	76122357	76122447	749	50,33	97,70	27,19	119,85	197	99	0.000804478527585	0.0137192320329	0.206,0.192	0.102,0.101	0.098
11401	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28846598	28847079	28846598	28846720	28846869	28847079	11401	104,195	307,286	72,42	277,168	197	99	0.000808663317198	0.0137632895274	0.145,0.255	0.116,0.112	0.086
2171	"ENSG00000175166.12"	"PSMD2"	chr3	+	184025144	184025465	184025144	184025313	184025439	184025465	2171	0,119	26,14	37,45	0,0	197	99	0.000813123678586	0.0138118537894	0.0,0.81	1.0,1.0	-0.595
12714	"ENSG00000100911.9"	"PSME2"	chr14	-	24614918	24615449	24614918	24614981	24615416	24615449	12714	126,121	250,243	77,51	253,187	197	99	0.000817130494304	0.0138525376697	0.202,0.2	0.133,0.121	0.074
1559	"ENSG00000111642.10"	"CHD4"	chr12	-	6692192	6692544	6692192	6692279	6692363	6692544	1559	23,39	209,154	18,13	230,190	182	99	0.000834661217261	0.0141218763039	0.056,0.121	0.041,0.036	0.05
7809	"ENSG00000204394.8"	"VARS"	chr6	-	31750306	31750622	31750306	31750410	31750497	31750622	7809	8,42	112,116	14,13	201,160	185	99	0.000844502705593	0.0142603158243	0.037,0.162	0.036,0.042	0.061
11958	"ENSG00000269858.1"	"EGLN2"	chr19	+	41313042	41313456	41313042	41313179	41313388	41313456	11958	25,27	107,178	10,5	133,105	197	99	0.000861072631471	0.0145116064068	0.105,0.071	0.036,0.023	0.058
4969	"ENSG00000171720.5"	"HDAC3"	chr5	-	141009426	141009692	141009426	141009483	141009610	141009692	4969	40,28	72,70	20,14	98,71	197	99	0.000894628386732	0.01504761445	0.218,0.167	0.093,0.09	0.101
143	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334	143	1562,1345	12,46	1528,1364	13,11	197	99	0.000897832519849	0.0150720127111	0.985,0.936	0.983,0.984	-0.023
6040	"ENSG00000184009.5"	"ACTG1"	chr17	-	79479257	79479807	79479257	79479386	79479759	79479807	6040	61,94	3333,1877	16,9	2540,1954	197	99	0.00090010714222	0.0150807424705	0.009,0.025	0.003,0.002	0.015
12426	"ENSG00000039650.5"	"PNKP"	chr19	-	50367435	50367660	50367435	50367493	50367580	50367660	12426	30,38	57,36	17,12	65,48	185	99	0.000903044744124	0.0151005244664	0.22,0.361	0.123,0.118	0.17
5290	"ENSG00000171863.8"	"RPS7"	chr2	+	3623222	3623469	3623222	3623274	3623406	3623469	5290	108,22	0,3042	0,0	2850,2337	197	99	0.00092012155285	0.0153562033917	1.0,0.004	0.0,0.0	0.502
6800	"ENSG00000168002.7"	"POLR2G"	chr11	+	62532669	62532877	62532669	62532704	62532811	62532877	6800	27,18	365,159	0,0	68,76	197	99	0.000938491698432	0.0156324343954	0.036,0.054	0.0,0.0	0.045
1282	"ENSG00000167962.8"	"ZNF598"	chr16	-	2052206	2052733	2052206	2052424	2052521	2052733	1282	33,66	88,85	21,15	94,67	195	99	0.000945680261926	0.0157114154289	0.16,0.283	0.102,0.102	0.119
4626	"ENSG00000090863.7"	"GLG1"	chr16	-	74496385	74497377	74496385	74496528	74497253	74497377	4626	32,27	62,83	10,8	72,53	197	99	0.00094688926029	0.0157114154289	0.206,0.141	0.065,0.071	0.105
4689	"ENSG00000072778.15"	"ACADVL"	chr17	+	7124084	7124377	7124084	7124149	7124242	7124377	4689	51,40	138,106	24,16	131,102	191	99	0.000949487675566	0.0157241745115	0.161,0.164	0.087,0.075	0.082
4581	"ENSG00000160789.15"	"LMNA"	chr1	+	156106711	156107023	156106711	156106819	156106903	156107023	4581	27,31	670,641	9,4	504,354	182	99	0.000961017061649	0.0158845031632	0.021,0.026	0.01,0.006	0.015
6871	"ENSG00000132522.11"	"GPS2"	chr17	-	7217806	7218438	7217806	7217916	7218277	7218438	6871	29,81	80,103	27,20	110,88	197	99	0.000963151144384	0.0158892208944	0.154,0.283	0.11,0.103	0.112
10026	"ENSG00000125733.13"	"TRIP10"	chr19	+	6743204	6743609	6743204	6743267	6743504	6743609	10026	51,27	130,64	18,11	101,71	197	99	0.000972400522323	0.0160110775658	0.165,0.175	0.082,0.072	0.093
4127	"ENSG00000176986.10"	"SEC24C"	chr10	+	75529104	75529491	75529104	75529243	75529372	75529491	4127	37,38	159,241	9,6	132,91	197	99	0.000977151911133	0.016058548138	0.105,0.073	0.033,0.032	0.056
5380	"ENSG00000172053.10"	"QARS"	chr3	-	49135424	49135913	49135424	49135550	49135624	49135913	5380	15,38	464,303	10,8	383,296	172	99	0.0009892742558	0.0162267408943	0.018,0.067	0.015,0.015	0.028
2994	"ENSG00000156876.8"	"SASS6"	chr1	-	100573183	100573560	100573183	100573273	100573365	100573560	2994	33,22	50,47	13,9	59,48	190	99	0.000996956577592	0.0163216033989	0.256,0.196	0.103,0.089	0.13
3074	"ENSG00000123349.9"	"PFDN5"	chr12	+	53691703	53691934	53691703	53691708	53691828	53691934	3074	302,157	1655,882	1,0	45,37	197	99	0.00101427288835	0.0165735275197	0.084,0.082	0.011,0.0	0.077
3905	"ENSG00000137409.14"	"MTCH1"	chr6	-	36938181	36938470	36938181	36938249	36938422	36938470	3905	31,40	107,122	11,7	89,68	197	99	0.00103698098047	0.0169124317403	0.127,0.141	0.058,0.049	0.081
8252	"ENSG00000108107.8"	"RPL28"	chr19	+	55897937	55899416	55897937	55898042	55899297	55899416	8252	4927,4933	205,157	4540,3013	114,63	197	99	0.0010425211815	0.0169705862784	0.924,0.94	0.952,0.96	-0.024
11049	"ENSG00000117410.9"	"ATP6V0B"	chr1	+	44442697	44443967	44442697	44442888	44443652	44443967	11049	373,413	235,498	183,96	274,198	197	99	0.00105918596229	0.0172092690848	0.444,0.294	0.251,0.196	0.145
7642	"ENSG00000117308.10"	"GALE"	chr1	-	24122998	24123272	24122998	24123076	24123186	24123272	7642	20,30	75,50	23,18	136,116	197	99	0.00108365045511	0.0175735389843	0.118,0.232	0.078,0.072	0.1
585	"ENSG00000141522.7"	"ARHGDIA"	chr17	-	79827205	79827501	79827205	79827282	79827417	79827501	585	3,36	135,118	6,3	128,111	197	99	0.00110575034785	0.0178981624101	0.011,0.133	0.023,0.013	0.054
43	"ENSG00000213347.6"	"MXD3"	chr5	-	176728935	176729179	176728935	176728988	176729128	176729179	43	19,25	140,73	4,4	75,71	197	99	0.00111773151848	0.0180580872206	0.064,0.147	0.026,0.028	0.079
7560	"ENSG00000167110.12"	"GOLGA2"	chr9	-	131024841	131025371	131024841	131024983	131025312	131025371	7560	46,57	259,166	22,14	188,126	197	99	0.0011261521682	0.0181599960332	0.082,0.147	0.056,0.053	0.06
6656	"ENSG00000068438.10"	"FTSJ1"	chrX	+	48340748	48340992	48340748	48340894	48340984	48340992	6656	13,5	119,67	0,0	63,71	188	99	0.0011489176557	0.0184924105819	0.054,0.038	0.0,0.0	0.046
1591	"ENSG00000180900.12"	"SCRIB"	chr8	-	144895480	144895715	144895480	144895544	144895639	144895715	1591	17,8	0,29	0,0	28,31	193	99	0.00115302567279	0.0185238423507	1.0,0.124	0.0,0.0	0.562
2127	"ENSG00000106397.7"	"PLOD3"	chr7	-	100855126	100855655	100855126	100855231	100855533	100855655	2127	33,33	55,51	12,7	53,33	197	99	0.00116203280769	0.0186337163845	0.232,0.245	0.102,0.096	0.139
763	"ENSG00000162576.12"	"MXRA8"	chr1	-	1289572	1289889	1289572	1289612	1289733	1289889	763	12,19	3,3	9,7	12,8	197	99	0.00116551580277	0.0186547641058	0.668,0.761	0.274,0.305	0.425
4322	"ENSG00000138750.10"	"NUP54"	chr4	-	77038816	77039347	77038816	77038927	77039227	77039347	4322	31,50	68,178	16,10	103,82	197	99	0.00117516082136	0.0187741770624	0.186,0.124	0.072,0.058	0.09
211	"ENSG00000183751.10"	"TBL3"	chr16	+	2024241	2024424	2024241	2024293	2024376	2024424	211	34,17	56,30	1,1	18,15	181	99	0.00118262192001	0.0188583217115	0.249,0.237	0.029,0.035	0.211
2513	"ENSG00000015479.13"	"MATR3"	chr5	+	138650363	138651877	138650363	138650425	138651764	138651877	2513	82,45	115,138	53,31	48,29	197	99	0.00123345755878	0.0196325328106	0.264,0.141	0.357,0.349	-0.15
1932	"ENSG00000149761.4"	"NUDT22"	chr11	+	63993761	63994604	63993761	63993899	63994106	63994604	1932	13,41	21,23	14,9	47,34	197	99	0.00125093045235	0.0198738396265	0.237,0.473	0.13,0.117	0.231
11434	"ENSG00000198930.8"	"CSAG1"	chrX	+	151908777	151909518	151908777	151908979	151909138	151909518	11434	145,151	98,78	43,26	50,33	197	99	0.00126282763723	0.0200258367933	0.426,0.493	0.302,0.284	0.167
791	"ENSG00000071894.10"	"CPSF1"	chr8	-	145619097	145619375	145619097	145619253	145619327	145619375	791	41,64	112,82	22,15	98,71	172	99	0.00127727573442	0.0202176518183	0.174,0.31	0.114,0.108	0.131
5993	"ENSG00000137497.13"	"NUMA1"	chr11	-	71718234	71719891	71718234	71718481	71719733	71719891	5993	102,107	86,99	52,33	85,58	197	99	0.00129876735924	0.020520046788	0.373,0.352	0.235,0.222	0.134
4284	"ENSG00000186635.10"	"ARAP1"	chr11	-	72407593	72408240	72407593	72407699	72408027	72408240	4284	53,18	57,52	23,13	93,72	197	99	0.00133962677565	0.0211267745628	0.318,0.148	0.111,0.083	0.136
9302	"ENSG00000160949.12"	"TONSL"	chr8	-	145657667	145659142	145657667	145657843	145658970	145659142	9302	36,41	33,23	27,18	50,35	197	99	0.00135031852121	0.0212563877103	0.354,0.473	0.213,0.205	0.204
2592	"ENSG00000122952.12"	"ZWINT"	chr10	-	58117198	58118220	58117198	58117946	58118137	58118220	2592	186,173	288,273	118,86	274,235	197	99	0.00139870829205	0.0219422254734	0.245,0.242	0.178,0.155	0.077
700	"ENSG00000006712.10"	"PAF1"	chr19	-	39879586	39879816	39879586	39879655	39879732	39879816	700	80,40	188,132	1,1	24,23	175	99	0.00140154529202	0.0219422254734	0.194,0.146	0.023,0.024	0.146
8504	"ENSG00000185000.5"	"DGAT1"	chr8	-	145541756	145541978	145541756	145541832	145541923	145541978	8504	13,22	60,42	21,22	160,154	189	99	0.00140081292096	0.0219422254734	0.102,0.215	0.064,0.07	0.091
10291	"ENSG00000064601.12"	"CTSA"	chr20	+	44520911	44521123	44520911	44520962	44521036	44521123	10291	16,25	46,46	6,4	46,35	172	99	0.00140410598869	0.0219423472233	0.167,0.238	0.07,0.062	0.137
861	"ENSG00000185813.6"	"PCYT2"	chr17	-	79865429	79865733	79865429	79865474	79865648	79865733	861	26,12	72,42	12,9	89,83	197	99	0.00142154425486	0.0221745424147	0.154,0.126	0.063,0.052	0.083
2646	"ENSG00000100519.7"	"PSMC6"	chr14	+	53184778	53185020	53184778	53184860	53184946	53185020	2646	9,6	18,33	1,2	33,47	184	99	0.00142457201978	0.0221815154167	0.212,0.089	0.016,0.022	0.132
12746	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179043908	179044111	179043908	179043959	179044051	179044111	12746	33,380	178,566	100,105	523,587	190	99	0.00144909737826	0.0224814373063	0.088,0.259	0.091,0.085	0.085
7729	"ENSG00000103496.10"	"STX4"	chr16	+	31045546	31045857	31045546	31045646	31045782	31045857	7729	36,61	37,30	23,16	50,30	197	99	0.00145168094299	0.0224814373063	0.328,0.505	0.188,0.211	0.217
9002	"ENSG00000077463.10"	"SIRT6"	chr19	-	4175024	4175934	4175024	4175148	4175676	4175934	9002	15,32	15,21	7,4	21,14	197	99	0.00145159249204	0.0224814373063	0.334,0.434	0.143,0.126	0.249
2399	"ENSG00000065000.11"	"AP3D1"	chr19	-	2112858	2113412	2112858	2112966	2113334	2113412	2399	25,27	2,5	16,8	11,7	197	99	0.00145749907558	0.0224904929167	0.863,0.731	0.422,0.365	0.403
3949	"ENSG00000127824.9"	"TUBA4A"	chr2	-	220115915	220116435	220115915	220116045	220116286	220116435	3949	27,28	144,105	9,5	109,73	197	99	0.00145713005593	0.0224904929167	0.086,0.118	0.04,0.033	0.065
1690	"ENSG00000100722.14"	"ZC3H14"	chr14	+	89075610	89076147	89075610	89075747	89076055	89076147	1690	43,53	57,80	26,18	81,55	197	99	0.00147418243173	0.0227071648758	0.275,0.25	0.139,0.141	0.122
6290	"ENSG00000105063.14"	"PPP6R1"	chr19	-	55741980	55742220	55741980	55742052	55742141	55742220	6290	0,7	14,39	0,0	49,60	187	99	0.00148227045564	0.0227502045825	0.0,0.087	0.0,0.0	0.043
8357	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22900000	22899231	22899350	22899964	22900000	8357	682,1059	746,722	647,533	897,747	197	99	0.0014806452599	0.0227502045825	0.315,0.424	0.266,0.264	0.104
6760	"ENSG00000161204.7"	"ABCF3"	chr3	+	183907175	183907545	183907175	183907231	183907344	183907545	6760	23,27	68,113	9,5	83,65	197	99	0.00149928027835	0.022970256671	0.145,0.107	0.052,0.037	0.082
1835	"ENSG00000100764.9"	"PSMC1"	chr14	+	90735740	90736696	90735740	90735892	90736541	90736696	1835	16,27	201,222	9,5	213,181	197	99	0.00152764328923	0.0233216590958	0.038,0.058	0.021,0.014	0.03
3297	"ENSG00000062822.8"	"POLD1"	chr19	+	50905559	50905792	50905559	50905630	50905710	50905792	3297	18,4	42,24	2,3	42,42	178	99	0.00152520705011	0.0233216590958	0.192,0.085	0.026,0.038	0.107
12174	"ENSG00000159079.14"	"C21orf59"	chr21	-	33973976	33975602	33973976	33974283	33975470	33975602	12174	62,71	8,6	36,24	14,8	197	99	0.00153300537624	0.0233620234198	0.796,0.856	0.564,0.601	0.244
1042	"ENSG00000157191.15"	"NECAP2"	chr1	+	16775587	16778510	16775587	16775696	16778332	16778510	1042	12,17	57,65	6,4	85,63	197	99	0.00154230204589	0.0234206467923	0.096,0.116	0.034,0.031	0.074
12110	"ENSG00000174744.9"	"BRMS1"	chr11	-	66108244	66108804	66108244	66108517	66108676	66108804	12110	5,24	37,102	2,1	57,40	197	99	0.00154057009356	0.0234206467923	0.064,0.106	0.017,0.012	0.07
