Gene	Ensembl_Gene_ID	Chromosome	Gene_start	Gene_end
IFIT2	ENSG00000119922	10	89283694	89309271
IFIT3	ENSG00000119917	10	89327307	89377473
IFIT6P	ENSG00000224289	10	89362294	89363487
IFIT1B	ENSG00000204010	10	89378056	89385205
IFIT1	ENSG00000185745	10	89392546	89406487
IFIT5	ENSG00000152778	10	89414568	89421605
SLC16A12	ENSG00000152779	10	89430299	89556641
SLC16A12-AS1	ENSG00000234452	10	89456064	89468140
PANK1	ENSG00000152782	10	89582988	89645242
MIR107	ENSG00000198997	10	89592747	89592827
PANK1-AS1	ENSG00000232936	10	89645272	89652144
KIF20B	ENSG00000138182	10	89701590	89774939
MTND5P42	ENSG00000283578	10	89786610	89787107
LINC00865	ENSG00000232229	10	89829483	89840863
MARK2P16	ENSG00000270670	10	89837612	89839334
LINC01374	ENSG00000280560	10	89853595	90225443
LINC01375	ENSG00000226159	10	89915489	89957373
SNRPD2P1	ENSG00000228938	10	89978717	89979070
RN7SKP143	ENSG00000222451	10	90163651	90163960
LINC02653	ENSG00000236373	10	90402521	90628852
HTR7	ENSG00000148680	10	90740823	90858039
RPP30	ENSG00000148688	10	90871952	90908553
Y_RNA	ENSG00000222305	10	90880040	90880179
ANKRD1	ENSG00000148677	10	90912096	90921087
RNU6-740P	ENSG00000201604	10	90922731	90922835
LINC00502	ENSG00000224851	10	91033157	91062164
DDX18P6	ENSG00000220585	10	91053051	91055047
NUDT9P1	ENSG00000234043	10	91152605	91153349
PCGF5	ENSG00000180628	10	91163012	91284337
HECTD2	ENSG00000165338	10	91409280	91514829
RPS27P1	ENSG00000223876	10	91544852	91545098
PPP1R3C	ENSG00000119938	10	91628442	91633071
GAPDHP28	ENSG00000213449	10	91666780	91667782
FAF2P1	ENSG00000228759	10	91765899	91767196
TNKS2-DT	ENSG00000228701	10	91782835	91798309
TNKS2	ENSG00000107854	10	91798426	91865475
SRP9P1	ENSG00000180581	10	91807179	91807439
FGFBP3	ENSG00000174721	10	91906584	91909486
BTAF1	ENSG00000095564	10	91923770	92031437
CPEB3	ENSG00000107864	10	92046692	92291078
SDHCP2	ENSG00000214549	10	92118664	92119164
EIF4A1P8	ENSG00000213484	10	92136875	92138370
NHP2P1	ENSG00000105988	10	92216332	92216793
Y_RNA	ENSG00000199881	10	92272147	92272250
MARCHF5	ENSG00000198060	10	92291167	92353964
RNY3P12	ENSG00000202297	10	92334463	92334564
MARK2P9	ENSG00000232709	10	92418667	92420875
IDE	ENSG00000119912	10	92451684	92574096
KIF11	ENSG00000138160	10	92574105	92655395
RPL11P4	ENSG00000184111	10	92596852	92597287
RN7SL644P	ENSG00000264313	10	92659044	92659302
EIF2S2P3	ENSG00000236493	10	92668745	92669743
HHEX	ENSG00000152804	10	92689955	92695647
Y_RNA	ENSG00000201412	10	92710499	92710608
EXOC6	ENSG00000138190	10	92826831	93059493
CYP26C1-DT	ENSG00000226425	10	93059663	93060426
CYP26C1	ENSG00000187553	10	93060798	93069540
CYP26A1	ENSG00000095596	10	93073475	93077885
NIP7P1	ENSG00000232805	10	93106872	93107383
XRCC6P1	ENSG00000237417	10	93206857	93209627
RPL17P34	ENSG00000213432	10	93284004	93284558
MYOF	ENSG00000138119	10	93306429	93482334
CEP55	ENSG00000138180	10	93496612	93529092
RNA5SP323	ENSG00000212396	10	93510548	93510680
FFAR4	ENSG00000186188	10	93566665	93604480
RBP4	ENSG00000138207	10	93591687	93601744
PDE6C	ENSG00000095464	10	93612537	93666010
FRA10AC1	ENSG00000148690	10	93667883	93702592
LGI1	ENSG00000108231	10	93757840	93806272
RAB11AP1	ENSG00000227995	10	93881293	93881938
SLC35G1	ENSG00000176273	10	93893973	93956062
PIPSL	ENSG00000180764	10	93958191	93961540
PLCE1	ENSG00000138193	10	93993931	94332823
PLCE1-AS2	ENSG00000232913	10	94081950	94108814
HDAC1P1	ENSG00000234724	10	94137748	94139500
RNU6-657P	ENSG00000206631	10	94155639	94155745
PLCE1-AS1	ENSG00000268894	10	94278681	94287478
NOC3L	ENSG00000173145	10	94333226	94362959
TBC1D12	ENSG00000108239	10	94402541	94536332
HELLS	ENSG00000119969	10	94545329	94613905
CTBP2P2	ENSG00000235746	10	94646364	94647996
CYP2C18	ENSG00000108242	10	94683729	94736190
CYP2C19	ENSG00000165841	10	94762681	94855547
MTND4P19	ENSG00000230338	10	94774156	94774633
CYP2C58P	ENSG00000235199	10	94865852	94873129
RPL7AP52	ENSG00000225354	10	94882554	94883343
CYP2C9	ENSG00000138109	10	94938658	94990091
MTND4P20	ENSG00000233377	10	94940253	94941121
CYP2C59P	ENSG00000228460	10	95007126	95007556
CYP2C60P	ENSG00000260863	10	95009674	95009812
CYP2C8	ENSG00000138115	10	95036772	95069497
PAWRP1	ENSG00000225533	10	95183653	95184217
ACSM6	ENSG00000173124	10	95194200	95228929
PDLIM1	ENSG00000107438	10	95237572	95291012
SORBS1	ENSG00000095637	10	95311771	95561414
RPS3AP36	ENSG00000214362	10	95594598	95595372
ALDH18A1	ENSG00000059573	10	95605941	95656711
TCTN3	ENSG00000119977	10	95659823	95694143
ENTPD1	ENSG00000138185	10	95711779	95877266
ENTPD1-AS1	ENSG00000226688	10	95732976	96090250
CC2D2B	ENSG00000188649	10	95907603	96033745
RPL21P90	ENSG00000227805	10	95999778	96000243
CCNJ	ENSG00000107443	10	96043394	96060870
MIR3157	ENSG00000266407	10	96064315	96064399
RNU6-271P	ENSG00000200728	10	96112747	96112851
ZNF518A	ENSG00000177853	10	96129715	96205288
BLNK	ENSG00000095585	10	96189171	96271587
NPM1P25	ENSG00000229417	10	96189366	96190219
DNTT	ENSG00000107447	10	96304409	96338564
OPALIN	ENSG00000197430	10	96343221	96359365
TLL2	ENSG00000095587	10	96364608	96513926
TM9SF3	ENSG00000077147	10	96518110	96587452
NPM1P26	ENSG00000235677	10	96560185	96560922
PIK3AP1	ENSG00000155629	10	96593315	96720514
RNA5SP324	ENSG00000202047	10	96619376	96619483
RPS2P36	ENSG00000227032	10	96620877	96621707
RNU6-1274P	ENSG00000207287	10	96743167	96743273
RPL13AP5	ENSG00000236552	10	96750288	96750899
MIR607	ENSG00000207976	10	96828669	96828764
LCOR	ENSG00000196233	10	96832254	96995956
HMGN2P35	ENSG00000232875	10	96915633	96915902
SLIT1	ENSG00000187122	10	96998038	97185959
SLIT1-AS1	ENSG00000234855	10	97102756	97104355
ARHGAP19-SLIT1	ENSG00000269891	10	97153045	97292637
ARHGAP19	ENSG00000213390	10	97222173	97292673
Metazoa_SRP	ENSG00000277308	10	97297290	97297557
RPL12P27	ENSG00000237169	10	97309138	97309958
FRAT1	ENSG00000165879	10	97319271	97321915
FRAT2	ENSG00000181274	10	97332497	97334729
RRP12	ENSG00000052749	10	97356358	97426076
RPL34P20	ENSG00000231508	10	97393197	97393547
Y_RNA	ENSG00000200737	10	97421195	97421307
PGAM1	ENSG00000171314	10	97426191	97433444
EXOSC1	ENSG00000171311	10	97435909	97446017
ZDHHC16	ENSG00000171307	10	97446170	97457370
MMS19	ENSG00000155229	10	97458324	97498794
UBTD1	ENSG00000165886	10	97498924	97571206
ANKRD2	ENSG00000165887	10	97572499	97583884
HOGA1	ENSG00000241935	10	97584323	97612802
C10orf62	ENSG00000203942	10	97589721	97590934
MORN4	ENSG00000171160	10	97614553	97633500
PI4K2A	ENSG00000155252	10	97640671	97676434
AVPI1	ENSG00000119986	10	97677424	97687241
MARVELD1	ENSG00000155254	10	97713173	97718150
ZFYVE27	ENSG00000155256	10	97737121	97760907
SFRP5	ENSG00000120057	10	97766751	97771999
GOLGA7B-DT	ENSG00000227356	10	97828478	97849798
GOLGA7B	ENSG00000155265	10	97849843	97871580
CRTAC1	ENSG00000095713	10	97865000	98030828
R3HCC1L	ENSG00000166024	10	98134624	98244897
LOXL4	ENSG00000138131	10	98247690	98268194
PYROXD2	ENSG00000119943	10	98383565	98415182
MIR1287	ENSG00000284415	10	98395218	98395307
HPS1	ENSG00000107521	10	98410939	98446963
MIR4685	ENSG00000264610	10	98431292	98431360
HPS1-AS1	ENSG00000287261	10	98446287	98453810
HPSE2	ENSG00000172987	10	98457077	99235862
MIR6507	ENSG00000274056	10	98924499	98924568
ARL5AP2	ENSG00000236818	10	99013103	99013952
RPL7P36	ENSG00000234109	10	99047639	99048319
CNNM1	ENSG00000119946	10	99329356	99394330
GOT1	ENSG00000120053	10	99396870	99430624
GOT1-DT	ENSG00000224934	10	99430915	99463259
LINC01475	ENSG00000257582	10	99526350	99531177
NKX2-3	ENSG00000119919	10	99532942	99536524
SLC25A28	ENSG00000155287	10	99610519	99622793
SLC25A28-DT	ENSG00000260475	10	99620857	99621931
ENTPD7	ENSG00000198018	10	99659509	99711241
EBAG9P1	ENSG00000233690	10	99697407	99697949
CUTC	ENSG00000119929	10	99702558	99756134
COX15	ENSG00000014919	10	99710868	99732127
ABCC2	ENSG00000023839	10	99782640	99852594
NANOGP6	ENSG00000227351	10	99788564	99789410
DNMBP	ENSG00000107554	10	99875577	100009947
DNMBP-AS1	ENSG00000227695	10	99927010	99959050
CPN1	ENSG00000120054	10	100042193	100081869
CYP2C23P	ENSG00000283232	10	100105754	100140151
TPM4P1	ENSG00000232230	10	100114417	100115223
SPCS2P2	ENSG00000270623	10	100143065	100143995
ERLIN1	ENSG00000107566	10	100150094	100186033
CHUK	ENSG00000213341	10	100188300	100229596
CHUK-DT	ENSG00000227492	10	100229629	100234398
CWF19L1	ENSG00000095485	10	100232298	100267680
SNORA12	ENSG00000212464	10	100237156	100237302
PHB1P9	ENSG00000230224	10	100248271	100249095
RNU6-422P	ENSG00000207362	10	100258571	100258677
BLOC1S2	ENSG00000196072	10	100273280	100286680
PKD2L1	ENSG00000107593	10	100288149	100330264
SCD	ENSG00000099194	10	100347233	100364826
OLMALINC	ENSG00000235823	10	100373099	100454043
Y_RNA	ENSG00000212325	10	100398352	100398446
WNT8B	ENSG00000075290	10	100463009	100483744
SEC31B	ENSG00000075826	10	100486646	100519864
NDUFB8	ENSG00000166136	10	100523740	100530000
HIF1AN	ENSG00000166135	10	100529072	100559998
Metazoa_SRP	ENSG00000274660	10	100666695	100667009
PAX2	ENSG00000075891	10	100735396	100829944
Y_RNA	ENSG00000222072	10	100907174	100907280
SLF2	ENSG00000119906	10	100912963	100965134
MRPL43	ENSG00000055950	10	100969458	100987515
SEMA4G	ENSG00000095539	10	100969504	100985871
MIR608	ENSG00000207551	10	100974985	100975084
TWNK	ENSG00000107815	10	100987367	100994403
LZTS2	ENSG00000107816	10	100996618	101007836
PDZD7	ENSG00000186862	10	101007679	101032295
SFXN3	ENSG00000107819	10	101031234	101041241
KAZALD1	ENSG00000107821	10	101061989	101068131
TLX1NB	ENSG00000236311	10	101089321	101131126
TLX1	ENSG00000107807	10	101131300	101137789
LINC01514	ENSG00000237579	10	101176306	101194147
SMARCE1P7	ENSG00000270973	10	101181144	101181951
LBX1	ENSG00000138136	10	101226994	101229463
LBX1-AS1	ENSG00000227128	10	101229577	101270148
LINC02681	ENSG00000229649	10	101252821	101263550
RNU2-43P	ENSG00000222238	10	101307529	101307718
BTRC	ENSG00000166167	10	101354033	101557321
RNU2-59P	ENSG00000222414	10	101364845	101365035
DPCD	ENSG00000166171	10	101570560	101609662
POLL	ENSG00000166169	10	101578882	101588270
MIR3158-1	ENSG00000263436	10	101601417	101601497
MIR3158-2	ENSG00000283558	10	101601417	101601497
FBXW4	ENSG00000107829	10	101610664	101695295
RNU6-1165P	ENSG00000222051	10	101622859	101622965
LINC03046	ENSG00000224817	10	101701994	101730037
FGF8	ENSG00000107831	10	101770109	101780371
NPM3	ENSG00000107833	10	101781325	101783446
OGA	ENSG00000198408	10	101784443	101818465
KCNIP2-AS1	ENSG00000226009	10	101818773	101828885
KCNIP2	ENSG00000120049	10	101825974	101843920
ARMH3	ENSG00000120029	10	101845599	102056193
Metazoa_SRP	ENSG00000274742	10	101912998	101913279
Y_RNA	ENSG00000222430	10	101952605	101952704
HPS6	ENSG00000166189	10	102065349	102068036
LDB1	ENSG00000198728	10	102106489	102120368
PPRC1	ENSG00000148840	10	102132994	102150333
NOLC1	ENSG00000166197	10	102152176	102163871
ELOVL3	ENSG00000119915	10	102226299	102229589
PITX3	ENSG00000107859	10	102230186	102241512
GBF1	ENSG00000107862	10	102245371	102382899
NFKB2	ENSG00000077150	10	102394110	102402524
PSD	ENSG00000059915	10	102402617	102421539
FBXL15	ENSG00000107872	10	102419189	102423136
CUEDC2	ENSG00000107874	10	102423245	102432584
MIR146B	ENSG00000202569	10	102436512	102436584
C10orf95-AS1	ENSG00000269609	10	102449816	102461106
C10orf95	ENSG00000120055	10	102449837	102451543
MFSD13A	ENSG00000138111	10	102461395	102477045
ACTR1A	ENSG00000138107	10	102461881	102502712
SUFU	ENSG00000107882	10	102503972	102633535
RPL23AP58	ENSG00000228657	10	102572757	102573225
RNU6-43P	ENSG00000207029	10	102591524	102591630
TRIM8-DT	ENSG00000272933	10	102642792	102644140
TRIM8	ENSG00000171206	10	102644479	102658318
ARL3	ENSG00000138175	10	102673731	102714397
SFXN2	ENSG00000156398	10	102714538	102743492
WBP1L	ENSG00000166272	10	102743948	102834516
RNU6-1231P	ENSG00000252994	10	102803929	102804031
CYP17A1	ENSG00000148795	10	102830531	102837472
PFN1P11	ENSG00000213061	10	102838011	102845473
PTGES3P4	ENSG00000236937	10	102845595	102845950
BORCS7	ENSG00000166275	10	102854259	102864961
BORCS7-ASMT	ENSG00000270316	10	102854272	102901899
U6	ENSG00000283337	10	102868421	102868519
AS3MT	ENSG00000214435	10	102869470	102901899
RPL22P17	ENSG00000235266	10	102887874	102888188
CNNM2	ENSG00000148842	10	102918294	103090222
NT5C2	ENSG00000076685	10	103087185	103277605
RPS15AP29	ENSG00000237827	10	103125017	103125416
MARCKSL1P1	ENSG00000213277	10	103175554	103176094
ST13P13	ENSG00000229256	10	103215709	103216800
RPEL1	ENSG00000235376	10	103245887	103248016
INA	ENSG00000148798	10	103277138	103290346
PCGF6	ENSG00000156374	10	103302796	103351144
RNU11-3P	ENSG00000212413	10	103312436	103312568
TAF5	ENSG00000148835	10	103367966	103389065
ATP5MK	ENSG00000173915	10	103389041	103396492
MIR1307	ENSG00000283867	10	103394253	103394401
PDCD11	ENSG00000148843	10	103396626	103446294
CALHM2	ENSG00000138172	10	103446786	103452402
CALHM1	ENSG00000185933	10	103453240	103458900
CALHM3	ENSG00000183128	10	103472804	103479240
NEURL1-AS1	ENSG00000235470	10	103479603	103517393
NEURL1	ENSG00000107954	10	103493705	103592546
SH3PXD2A	ENSG00000107957	10	103594027	103855584
Y_RNA	ENSG00000222503	10	103673158	103673265
SH3PXD2A-AS1	ENSG00000280693	10	103745966	103755423
STN1	ENSG00000107960	10	103856806	103918332
SLK	ENSG00000065613	10	103967140	104029233
RN7SL524P	ENSG00000266754	10	103974515	103974814
COL17A1	ENSG00000065618	10	104031286	104085880
MIR936	ENSG00000283788	10	104048089	104048186
SFR1	ENSG00000156384	10	104122058	104126385
CFAP43	ENSG00000197748	10	104129888	104232364
MIR609	ENSG00000208033	10	104218789	104218883
GSTO1	ENSG00000148834	10	104235356	104267459
MIR4482	ENSG00000266852	10	104268336	104268405
GSTO2	ENSG00000065621	10	104268873	104304950
ITPRIP	ENSG00000148841	10	104309698	104338465
ITPRIP-AS1	ENSG00000228261	10	104323369	104327004
CFAP58-DT	ENSG00000231233	10	104351300	104353625
CFAP58	ENSG00000120051	10	104353833	104455102
LINC02620	ENSG00000225768	10	104474939	104480274
SORCS3	ENSG00000156395	10	104641290	105265242
SORCS3-AS1	ENSG00000226387	10	104664608	104666200
RNU6-463P	ENSG00000207068	10	105534659	105534765
PPIAP38	ENSG00000233477	10	105685383	105685865
YWHAZP5	ENSG00000213260	10	105686322	105687051
LINC02627	ENSG00000229466	10	105808225	105820349
LINC02624	ENSG00000229775	10	106140143	106188722
RPL23AP59	ENSG00000215002	10	106550106	106551121
SORCS1	ENSG00000108018	10	106573663	107164706
RNA5SP325	ENSG00000200626	10	106970021	106970150
RNA5SP326	ENSG00000200079	10	107461560	107461669
LINC01435	ENSG00000229981	10	107694973	108197849
PTGES3P5	ENSG00000234544	10	108296099	108296532
LINC02661	ENSG00000223381	10	108708539	108840686
MAPKAPK5P1	ENSG00000224498	10	108848186	108849561
RN7SKP278	ENSG00000222436	10	108940969	108941310
RNU5B-6P	ENSG00000252574	10	109184934	109185001
RNU6-839P	ENSG00000200217	10	109239639	109239746
PHB2P1	ENSG00000232728	10	109528119	109529008
BTF3P15	ENSG00000237242	10	109534655	109534990
XIAPP1	ENSG00000270294	10	109680442	109681041
RPL21P91	ENSG00000224907	10	109807651	109808129
XPNPEP1	ENSG00000108039	10	109864766	109923553
RNU4-5P	ENSG00000272160	10	109869858	109869992
ADD3-AS1	ENSG00000203876	10	109940104	110008381
ADD3	ENSG00000148700	10	109996368	110135565
SNRPGP12	ENSG00000226734	10	110139214	110139426
MXI1	ENSG00000119950	10	110207605	110287365
SMNDC1	ENSG00000119953	10	110290730	110304938
DUSP5-DT	ENSG00000273143	10	110428840	110496590
HMGB3P5	ENSG00000237642	10	110450629	110451240
DUSP5	ENSG00000138166	10	110497907	110511533
RPL7P35	ENSG00000233518	10	110550115	110550854
SMC3	ENSG00000108055	10	110567684	110606048
Y_RNA	ENSG00000223302	10	110642678	110642785
RBM20	ENSG00000203867	10	110644336	110839468
RN7SKP288	ENSG00000252036	10	110756456	110756723
RNA5SP327	ENSG00000199364	10	110761142	110761242
PDCD4-AS1	ENSG00000203497	10	110869741	110872253
PDCD4	ENSG00000150593	10	110871795	110900006
MIR4680	ENSG00000284482	10	110898090	110898155
BBIP1	ENSG00000214413	10	110898730	110919201
SHOC2	ENSG00000108061	10	110919367	111017307
RPL13AP6	ENSG00000234118	10	110936622	110937233
MIR548E	ENSG00000221214	10	110988926	110989013
ADRA2A	ENSG00000150594	10	111077029	111080907
BTBD7P2	ENSG00000237618	10	111322778	111323397
RPS6P15	ENSG00000230809	10	111498191	111498941
GPAM	ENSG00000119927	10	112149865	112215377
TECTB	ENSG00000119913	10	112283400	112305038
MIR6715B	ENSG00000283688	10	112299612	112299688
MIR6715A	ENSG00000276857	10	112299612	112299690
GUCY2GP	ENSG00000243316	10	112308181	112356574
ACSL5	ENSG00000197142	10	112374116	112428379
ZDHHC6	ENSG00000023041	10	112424428	112447572
VTI1A	ENSG00000151532	10	112446998	112818744
MIR4295	ENSG00000264763	10	112634170	112634254
LINC02935	ENSG00000225292	10	112888735	112906111
TCF7L2	ENSG00000148737	10	112950247	113167678
RPS15AP30	ENSG00000227560	10	112987476	112987865
RNU7-165P	ENSG00000238380	10	113353425	113353484
PPIAP39	ENSG00000230018	10	113482616	113483113
HABP2	ENSG00000148702	10	113550837	113589602
NRAP	ENSG00000197893	10	113588714	113664070
CASP7	ENSG00000165806	10	113679162	113730907
PLEKHS1	ENSG00000148735	10	113751262	113783429
MIR4483	ENSG00000283656	10	113777993	113778054
DCLRE1A	ENSG00000198924	10	113834725	113854383
NHLRC2	ENSG00000196865	10	113854661	113917194
ADRB1	ENSG00000043591	10	114043866	114046904
RNU6-709P	ENSG00000253066	10	114111414	114111517
UBE2V1P5	ENSG00000226582	10	114117147	114117551
CCDC186	ENSG00000165813	10	114120862	114174232
MIR2110	ENSG00000284442	10	114174105	114174179
TDRD1	ENSG00000095627	10	114179270	114232666
VWA2	ENSG00000165816	10	114239254	114294489
AURKAP2	ENSG00000230165	10	114246074	114246714
AFAP1L2	ENSG00000169129	10	114294824	114404756
RN7SL384P	ENSG00000242912	10	114423770	114424067
ABLIM1	ENSG00000099204	10	114431112	114768061
PPIAP19	ENSG00000228169	10	114690143	114690634
TAF9BP2	ENSG00000215760	10	114809375	114811170
FHIP2A	ENSG00000151553	10	114821744	114899832
RPL15P13	ENSG00000226428	10	114900722	114901366
TRUB1	ENSG00000165832	10	114938195	114977676
RNU6-1121P	ENSG00000252611	10	114969460	114969568
LINC02626	ENSG00000236799	10	114994657	114996593
ATRNL1	ENSG00000107518	10	115093365	115948999
NTAN1P1	ENSG00000270965	10	115819842	115820487
GFRA1	ENSG00000151892	10	116056925	116276803
CCDC172	ENSG00000182645	10	116324448	116380029
SNRPGP6	ENSG00000205433	10	116409256	116409475
PNLIPRP3	ENSG00000203837	10	116427847	116477957
HMGB3P8	ENSG00000227096	10	116439468	116440044
RNU6-1090P	ENSG00000200935	10	116538183	116538276
PNLIP	ENSG00000175535	10	116545931	116567855
PNLIPP1	ENSG00000232091	10	116577308	116583317
PNLIPRP1	ENSG00000187021	10	116590385	116609175
PNLIPRP2	ENSG00000266200	10	116620953	116645143
C10orf82	ENSG00000165863	10	116663696	116670264
HSPA12A-AS1	ENSG00000232767	10	116670034	116672750
HSPA12A	ENSG00000165868	10	116671192	116850251
RPL5P27	ENSG00000228195	10	116749905	116751261
ENO4	ENSG00000188316	10	116849499	116911788
SHTN1	ENSG00000187164	10	116881477	117126586
VAX1	ENSG00000148704	10	117128521	117138301
MIR3663HG	ENSG00000234474	10	117144564	117169108
MIR3663	ENSG00000266782	10	117167678	117167774
RPL12P26	ENSG00000236171	10	117196168	117196654
KCNK18	ENSG00000186795	10	117197489	117210299
SLC18A2-AS1	ENSG00000225936	10	117238762	117241998
SLC18A2	ENSG00000165646	10	117241093	117279430
PDZD8	ENSG00000165650	10	117277274	117375440
EMX2OS	ENSG00000229847	10	117473215	117545068
EMX2	ENSG00000170370	10	117542445	117549546
LINC02674	ENSG00000234952	10	117734510	117753329
RAB11FIP2	ENSG00000107560	10	118004916	118046941
CASC2	ENSG00000177640	10	118046279	118210158
LINC02944	ENSG00000238276	10	118241468	118267710
FAM204A	ENSG00000165669	10	118297925	118342328
LINC00867	ENSG00000232139	10	118341437	118398468
SLC25A18P1	ENSG00000234309	10	118572871	118573620
PRLHR	ENSG00000119973	10	118589997	118595648
TOMM22P5	ENSG00000225155	10	118643760	118644198
CACUL1	ENSG00000151893	10	118674167	118755249
LINC03036	ENSG00000229272	10	118784563	119029544
RPL17P36	ENSG00000236058	10	118872054	118872602
LDHAP5	ENSG00000213574	10	118932674	118933295
NANOS1	ENSG00000188613	10	119029714	119033730
EIF3A	ENSG00000107581	10	119033670	119080823
SNORA19	ENSG00000207468	10	119060011	119060138
DENND10	ENSG00000119979	10	119104086	119137984
SFXN4	ENSG00000183605	10	119140767	119165714
PRDX3	ENSG00000165672	10	119167720	119178812
GRK5	ENSG00000198873	10	119207571	119459745
GRK5-IT1	ENSG00000228485	10	119208531	119211760
RN7SL749P	ENSG00000242853	10	119212857	119213146
MIR4681	ENSG00000265719	10	119377972	119378043
RGS10	ENSG00000148908	10	119499817	119542719
TIAL1	ENSG00000151923	10	119571802	119597029
RAD1P1	ENSG00000234569	10	119621068	119621880
RPS8P4	ENSG00000227437	10	119638456	119639082
BAG3	ENSG00000151929	10	119651380	119677819
TXNP1	ENSG00000232823	10	119683127	119683823
INPP5F	ENSG00000198825	10	119726042	119829147
RN7SL846P	ENSG00000242818	10	119768247	119768538
PHACTR2P1	ENSG00000270300	10	119793589	119816642
MCMBP	ENSG00000197771	10	119829404	119892556
SEC23IP	ENSG00000107651	10	119892707	119944657
MIR4682	ENSG00000265370	10	119958513	119958592
NACAP2	ENSG00000180230	10	119997086	119997709
RPL21P16	ENSG00000220842	10	120354701	120355183
PLPP4	ENSG00000203805	10	120457227	120592065
LINC01561	ENSG00000177234	10	120597949	120600124
LINC02930	ENSG00000274461	10	120608580	120825317
WDR11-DT	ENSG00000227165	10	120759898	120851457
WDR11	ENSG00000120008	10	120851305	120909524
RPL19P16	ENSG00000236762	10	121133090	121133723
LINC01153	ENSG00000227143	10	121178700	121185966
RN7SKP167	ENSG00000222979	10	121410916	121411200
FGFR2	ENSG00000066468	10	121478332	121598458
ATE1	ENSG00000107669	10	121709393	121928801
RPS15AP5	ENSG00000223540	10	121713607	121713994
Y_RNA	ENSG00000201884	10	121846600	121846700
ATE1OSP	ENSG00000226864	10	121928056	121952139
NSMCE4A	ENSG00000107672	10	121957091	121975217
TACC2	ENSG00000138162	10	121989163	122254545
BTBD16	ENSG00000138152	10	122271296	122338159
RNU6-728P	ENSG00000202245	10	122345690	122345793
PLEKHA1	ENSG00000107679	10	122374696	122432354
MIR3941	ENSG00000265442	10	122416965	122417067
ARMS2	ENSG00000254636	10	122454653	122457352
HTRA1	ENSG00000166033	10	122458551	122514907
DMBT1	ENSG00000187908	10	122560665	122643736
C10orf120	ENSG00000183559	10	122697709	122699846
DMBT1L1	ENSG00000176584	10	122729429	122826868
CUZD1	ENSG00000138161	10	122832158	122846175
FAM24B	ENSG00000213185	10	122849078	122879641
C10orf88B	ENSG00000255624	10	122879681	122898716
FAM24A	ENSG00000203795	10	122910610	122913111
C10orf88	ENSG00000119965	10	122930901	122954311
PSTK	ENSG00000179988	10	122954381	122997513
IKZF5	ENSG00000095574	10	122990807	123008812
ACADSB	ENSG00000196177	10	123008979	123058290
HMX3	ENSG00000188620	10	123135970	123139423
HMX2	ENSG00000188816	10	123148136	123150672
BUB3	ENSG00000154473	10	123154402	123170467
RPS26P39	ENSG00000227586	10	123171535	123171875
LINC02641	ENSG00000230131	10	123356450	123537767
GPR26	ENSG00000154478	10	123666355	123697399
CPXM2	ENSG00000121898	10	123706207	123940267
YBX2P1	ENSG00000213438	10	123991910	123992669
CHST15	ENSG00000182022	10	124007668	124093598
OAT	ENSG00000065154	10	124397303	124418976
NKX1-2	ENSG00000229544	10	124445243	124450035
LHPP	ENSG00000107902	10	124461823	124617888
RPS10P18	ENSG00000229455	10	124489823	124490578
FAM53B	ENSG00000189319	10	124619292	124744378
FAM53B-AS1	ENSG00000233334	10	124703625	124714217
EEF1AKMT2	ENSG00000203791	10	124748149	124791887
Y_RNA	ENSG00000199466	10	124766196	124766297
ABRAXAS2	ENSG00000165660	10	124801819	124836667
Y_RNA	ENSG00000207494	10	124814958	124815062
NPM1P31	ENSG00000214807	10	124867510	124868326
ZRANB1	ENSG00000019995	10	124942123	124988189
CTBP2	ENSG00000175029	10	124984317	125161170
MIR4296	ENSG00000264572	10	125032783	125032870
MRPS21P6	ENSG00000214298	10	125166677	125166937
RPS27P18	ENSG00000233135	10	125473686	125473932
TEX36-AS1	ENSG00000237675	10	125574371	125578445
TEX36	ENSG00000175018	10	125576522	125683163
ALDOAP2	ENSG00000214297	10	125666875	125667950
EDRF1-DT	ENSG00000224023	10	125700436	125719566
EDRF1	ENSG00000107938	10	125719515	125764143
EDRF1-AS1	ENSG00000236991	10	125725634	125752110
MMP21	ENSG00000154485	10	125753580	125775821
UROS	ENSG00000188690	10	125784980	125823258
MIR4484	ENSG00000265092	10	125819740	125819822
BCCIP	ENSG00000107949	10	125823546	125853695
DHX32	ENSG00000089876	10	125836337	125896436
Metazoa_SRP	ENSG00000277371	10	125869295	125869576
RNU2-42P	ENSG00000222629	10	125890566	125890678
FANK1	ENSG00000203780	10	125896564	126009592
GNG10P1	ENSG00000234016	10	125960208	125960406
FANK1-AS1	ENSG00000233409	10	125972188	125973126
ADAM12	ENSG00000148848	10	126012381	126388477
RNA5SP328	ENSG00000222740	10	126145474	126145582
SAR1AP2	ENSG00000213170	10	126272818	126273411
LINC00601	ENSG00000235180	10	126413869	126421879
C10orf90	ENSG00000154493	10	126424997	126798708
DOCK1	ENSG00000150760	10	126905409	127452517
INSYN2A	ENSG00000188916	10	127135426	127196591
NPS	ENSG00000214285	10	127549309	127553540
FOXI2	ENSG00000186766	10	127737185	127741183
BUB1P1	ENSG00000270778	10	127867881	127868487
CLRN3	ENSG00000180745	10	127877841	127892941
PTPRE	ENSG00000132334	10	127907103	128085855
MKI67	ENSG00000148773	10	128096659	128126423
LINC01163	ENSG00000280953	10	128181032	128317726
